,placement,player,archetype,deck_id
0,1,Christos Mourikis,Spright,melffy-spright-328350
1,2,Giannis Tato,Kashtira,
2,3,Xaram Eleytheriadis,Swordsoul,
3,4,Giorgos Tsokas,Kashtira,
4,5,Giorgos Stavaras,Swordsoul,
5,6,Ilias Rodios,Kashtira,
6,7,Stavros Vitsentsatos,Kashtira,
7,8,Dimitris Rafailidis,Kashtira,
8,9,Konstantinos Gkirtzekis,Spright,melffy-adventurer-spright-328690
9,10,Sokratis Papavasileiou,Dragon Link,
10,11,Aggelos Mylopoulos,Dragon Link,
11,12,Michalis Savvakis,Despia,branded-despia-328349
12,13,Christos Exiogiou,Kashtira,kashtira-328688
13,14,Vasilis Koltoukis,Kashtira,
14,15,Xristos Anestakis,Kashtira,
15,16,Babis Andrianakis,Superheavy Samurai,superheavy-samurai-328352
