,placement,player,archetype,deck_id
0,1,Mario De Micco,Tenpai Dragon,
1,2,Rehan Saeed,Yubel,fiendsmith-yubel-544547
2,3,Darian Nguyen,Unchained,fiendsmith-magical-musketeer-unchained-544462
3,4,John Wilkin,Fire King,azamina-snake-eye-fire-king-544545
4,5,Ricardo Caleb Cummings II,Fire King,
5,6,Bryan Dejesus Collazo,Fire King,
6,7,Austin Colling,Fire King,azamina-snake-eye-fire-king-544581
7,8,Cesar Antonio Gonzales,Kashtira,
8,9,Sean Pittman,Fire King,azamina-snake-eye-fire-king-545179
9,10,Julien Kehon,Fire King,azamina-snake-eye-fire-king-544894
10,11,Robert Kenny III,Centur-Ion,millennium-fiendsmith-centur-ion-545796
11,12,Jamie Hunter,Snake-Eye,
12,13,Franco Persano,Centur-Ion,bystial-centur-ion-544583
13,14,Michael Tomcany,Exodia,millennium-exodia-544543
14,15,Junxiang Shao,Tenpai Dragon,tenpai-dragon-545804
15,16,Joseph Ouellette,Tenpai Dragon,
16,17,Sean Andrew Schneiter,White Forest,fiendsmith-centur-ion-white-forest-544324
17,18,David Erpen,Snake-Eye,
18,19,Felipe Bisserier Zapata,Fire King,
19,20,Matthew Jesse McRae,Snake-Eye,
20,21,Dillon Kolacz,Yubel,
21,22,Daniel De Meza Gutierrez,Snake-Eye,azamina-snake-eye-545781
22,23,Paulo Roberto Goncalvez da Silva,Snake-Eye,
23,24,Taiel Fernandez,Snake-Eye,
24,25,Pakawat Pamornsut,Yubel,fiendsmith-yubel-544762
25,26,Kamal Crooks-Valdez,Mermail,atlantean-mermail-544943
26,27,Rolando Adriel Roman,Centur-Ion,superheavy-samurai-centur-ion-544310
27,28,James Allen Markowitz,Tenpai Dragon,tenpai-dragon-544542
28,29,Thiago Oyarzabal Teixeira,Tenpai Dragon,tenpai-dragon-544541
29,30,Hamzah Malik,Tenpai Dragon,tenpai-dragon-544538
30,31,John Rumrill,Tenpai Dragon,
31,32,Samantha Tyler,Memento,memento-544460
