,placement,player,archetype,deck_id,deck_cost
0,1,Cristian Urena,Tearlaments,ishizu-tearlaments-312418,$100.01
1,2,Ceszar Victor Lopez Coscia,Floowandereeze,floowandereeze-312427,$73.96
2,3,Shianxiao NY Wan,Tearlaments,bystial-ishizu-tearlaments-312601,$139.23
3,4,Dominic Couch,Floowandereeze,floowandereeze-312600,$106.60
4,5,Pierluigi Sorrentino,Tearlaments,,
5,6,Kenny Nguyen ,Spright,bystial-spright-312498,$159.07
6,7,Andrew Michael Dolich,Tearlaments,bystial-ishizu-tearlaments-312660,$193.33
7,8,Thomas John Williams,Tearlaments,,
8,9,Jarrid Daniel Centamore	,Naturia,bystial-runick-naturia-312436,$152.01
9,10,Bill Wei,Tearlaments,bystial-ishizu-tearlaments-312661,$160.92
10,11,Jeffrey Pircher,Tearlaments,,
11,12,David Erpen,Tearlaments,bystial-ishizu-tearlaments-312493,$172.46
12,13,Anthony Xu,Tearlaments,,
13,14,Leonardo Sacchetti,Spright,adventurer-spright-312668,$116.09
14,15,Kobi Gyamfi,Spright,bystial-spright-312416,$162.43
15,16,Mert Ozbek,Floowandereeze,,
16,17,Gustavo Vilella,Tearlaments,kashtira-ishizu-tearlaments-313090,$265.21
17,18,Vincenzo Orofino,Tearlaments,,
18,19,Aaron Demarco Pastrana,Tearlaments,,
19,20,Jesse Kotton,Tearlaments,bystial-ishizu-tearlaments-312428,$220.34
20,21,Blake Michael Morrison,Tearlaments,,
21,22,Justin Andrew Singh,Tearlaments,bystial-ishizu-tearlaments-312652,$203.85
22,23,Camron Ghorashi,Tearlaments,bystial-ishizu-tearlaments-312494,$161.07
23,24,Simon He,Tearlaments,bystial-ishizu-tearlaments-312492,$158.84
24,25,Joshua Carroll,Spright,,
25,26,Luca Insinna,Spright,,
26,27,Logan Keith Profitt,Floowandereeze,,
27,28,Davide Magri,Exosister,exosister-312643,$126.09
28,29,Jiarui Zhang,Tearlaments,,
29,30,Yuhang Li,Floowandereeze,,
30,31,Kylar Layne Price,Runick,runick-312435,$39.55
31,32,Abraham Rivera Cruz,Runick,,
