,placement,player,archetype,deck_id
0,1,Steven Trifunoski 	,Ryzeal,fiendsmith-ryzeal-551503
1,2,Nicholas Jadusingh,Tenpai Dragon,tenpai-dragon-551500
2,3,Christopher Pyke,Ryzeal,ryzeal-551499
3,4,Michael Aviles,Ryzeal,ryzeal-551496
4,5,Jonathan Oswaldo Martinez,Yubel,
5,6,Matthew Beck,Ryzeal,fiendsmith-ryzeal-551598
6,7,Mitchell Martin,Maliss,kashtira-maliss-552326
7,8,Matthew Ames,Ryzeal,fiendsmith-ryzeal-552057
8,9,Joshua Schmidt,Fiendsmith,magical-musketeer-fiendsmith-551967
9,10,Conrad Garcia Hauzer,Ryzeal,ryzeal-552052
10,11,Longman Huang,Fiendsmith,
11,12,Esala Wathuthantrige,Maliss,
12,13,Steven Santoli,Ryzeal,
13,14,George Lucas Sacco,Ryzeal,ryzeal-551616
14,15,Ryan Talley,Ryzeal,ryzeal-551613
15,16,Ulises Aispuro,Maliss,maliss-551762
16,17,Paulo Roberto Goncalves da Silva,Snake-Eye,fiendsmith-azamina-snake-eye-552474
17,18,Jeffrey Jones,Maliss,kashtira-maliss-551581
18,19,Gabriel Braithwaite,Maliss,sky-striker-maliss-551621
19,20,Jackson Rauch,Maliss,kashtira-maliss-551406
20,21,Daniel Cardno,Fiendsmith,kashtira-fiendsmith-552171
21,22,Karan Sharma,Ryzeal,fiendsmith-ryzeal-552335
22,23,Alexander Huynh,Yubel,
23,24,Rafael Mariano Reich,Fiendsmith,kashtira-fiendsmith-551623
24,25,Donovan Nguyen,Voiceless Voice,dogmatika-voiceless-voice-551404
25,26,Lily Mirowski,Maliss,maliss-551602
26,27,Nicholas Boswell,Ryzeal,ryzeal-552055
27,28,Wyatt Ticheli,Ryzeal,ryzeal-551399
28,29,Derek Mead,Tenpai Dragon,
29,30,Tristan Bridges,Ryzeal,ryzeal-551761
30,31,Anthony Confletti,Memento,memento-551620
31,32,Austin Anthony 	,Ryzeal,ryzeal-551806
