,placement,player,archetype,deck_id
0,1,Jhon Guerrero,Spright,adventurer-spright-321615
1,2,Nestor Huanacuni,Spright,adventurer-spright-321403
2,3,Jose Castillo,Salamangreat,adventurer-salamangreat-321367
3,4,Ayrton Mucching,Kashtira,kashtira-321702
4,5,Michel Verissimo,Plunder Patroll,runick-kaiju-plunder-patroll-321524
5,6,Arnold Nadaban,Labrynth,dragoon-labrynth-321369
6,7,Phelipe da Hora,Naturia,runick-naturia-321646
7,8,André Chavez Curioso,Floowandereeze,floowandereeze-321506
8,9,Paulo Roberto Goncalves da Silva,Kashtira,kashtira-321980
9,10,Raphael Neven,Kashtira,kashtira-321643
10,11,Jesse Kotton,Kashtira,kashtira-321712
11,12,HEROSBRAN,Kashtira,kashtira-321648
12,13,DaelinView,Eldlich,eldlich-321371
13,14,<3 unknown Top 16 duelists>,,
14,15,Gabriel Netz,Naturia,runick-naturia-321614
15,16,Shannon Long,Marincess,marincess-321528
16,17,Raul Villafuerte,Tearlaments,salvation-shaddoll-tearlaments-321408
17,18,Cormac Adams,Naturia,runick-naturia-321614
18,19,Carlos Santivañez,Dragon Link,bystial-dragon-link-321372
19,20,Renato Alfaro,Traptrix,traptrix-321703
20,21,<10 unknown Top 32 duelists>,,
