,placement,player,archetype,deck_id
0,1,Chris LeBlanc,Tearlaments,bystial-ishizu-tearlaments-318399
1,2,Anthony Lopez,Tearlaments,bystial-ishizu-tearlaments-318419
2,3,Antonio Pereira,Kashtira,
3,4,F. Canterella,,
4,5,Hakan Yozgat,Tearlaments,bystial-ishizu-tearlaments-318642
5,6,Din Khang Pham,Spright,power-spell-spright-318396
6,7,Baptiste Derouin,Floowandereeze,floowandereeze-318543
7,8,Connor Kelly,,
8,9,Mattheu Bricard,Tearlaments,bystial-ishizu-tearlaments-318536
9,10,Lorenzo Muselli,Tearlaments,bystial-ishizu-tearlaments-318686
10,11,Joshua Schmidt,Tearlaments,bystial-ishizu-tearlaments-318538
11,12,Danny Martindale,Tearlaments,bystial-ishizu-tearlaments-318638
12,13,Kostadin Kasabov,Tearlaments,ishizu-tearlaments-318527
13,14,Francesco Mangione,Spright,bystial-spright-318640
14,15,Alberto Morales,Kashtira,kashtira-318387
15,16,<unknown duelist>,,
16,17,Daniel Hartmann,Tearlaments,bystial-ishizu-tearlaments-318393
17,18,Joo-Ho Ahn,Tearlaments,bystial-ishizu-tearlaments-318391
18,19,Tom Kleinegräber,Tearlaments,bystial-ishizu-tearlaments-318542
19,20,Francesco Simoncelli,Kashtira,kashtira-319036
20,21,Georgi Danev,Kashtira,kashtira-318659
21,22,Herman Hansson,Labrynth,labrynth-318388
22,23,Adrian Dursun,Kashtira,kashtira-318394
23,24,Christian Andersen,Tearlaments,ishizu-tearlaments-318544
24,25,<8 unknown Top 32 duelists>,,
25,26,Jake McGee,Tearlaments,bystial-ishizu-tearlaments-318638
26,27,Pulese Yuri,Subterror,dragoon-subterror-318569
27,28,Tim G,Tearlaments,ishizu-tearlaments-318421
28,29,Andre Delury,Kashtira,kashtira-318403
29,30,Raphael Duriez,Runick,runick-318537
30,31,Simone Alesiani,Labrynth,labrynth-318762
31,32,A. Boniolo,Kashtira,kashtira-318765
32,33,Franco Persano,Kashtira,kashtira-318767
33,34,<24 unknown Top 64 duelists>,,
