,placement,player,archetype,deck_id,deck_cost
0,1,Hani Yasser Jawhari,Tearlaments,bystial-ishizu-tearlaments-309384,$152.87
1,2,Jesse Kotton,Tearlaments,bystial-ishizu-tearlaments-309385,$136.92
2,3,Dakota Clint Angeloff,Tearlaments,bystial-ishizu-tearlaments-309386,$133.48
3,4,Vincent Man Kith Wong,Spright,bystial-spright-309388,$159.44
4,5,Kanadiest Liu,Tearlaments,ishizu-tearlaments-309483,$135.46
5,6,Brayan Lauro Madrigal Gomez,Tearlaments,ishizu-tearlaments-309490,$183.65
6,7,Gabriel Netz Dambros Benakouche,Tearlaments,ishizu-tearlaments-309404,$129.91
7,8,Walter Jule,Tearlaments,bystial-ishizu-tearlaments-309300,$147.69
8,9,Avery Nicholas Foster,Tearlaments,mystic-mine-ishizu-tearlaments-309484,$88.08
9,10,Dominic Eduardo Couch,Tearlaments,salvation-ishizu-tearlaments-309558,$124.84
10,11,Samuel James Pearson,Tearlaments,ishizu-tearlaments-309404,$129.91
11,12,Vladis Baranovskis,Tearlaments,ishizu-tearlaments-309480,$113.65
12,13,Jake Paul Quinsee,Tearlaments,ishizu-tearlaments-309561,$127.82
13,14,Baptiste Derouin,Floowandereeze,floowandereeze-309410,$68.23
14,15,Richard Matthew Serrato II,Tearlaments,bystial-ishizu-tearlaments-309491,$208.93
15,16,Zonghan Li,Tearlaments,ishizu-tearlaments-309395,$147.56
16,17,Charley Taylor,Tearlaments,spright-ishizu-tearlaments-309650,$87.27
17,18,Marcus Stashu Carisse,Tearlaments,mystic-mine-ishizu-tearlaments-309278,$134.52
18,19,Joshua Steven Kippenberg,Tearlaments,bystial-ishizu-tearlaments-309482,$182.34
19,20,Pakawat Thomas Pamornsut,Tearlaments,ishizu-tearlaments-309398,$131.63
20,21,Jannes Dominik Würtenberger,Spright,bystial-spright-309394,$163.56
21,22,Darren James Stephenson,Tearlaments,bystial-ishizu-tearlaments-309413,$140.22
22,23,Carlos Manuel Laracuente Rosario,Spright,bystial-spright-309406,$168.91
23,24,Zachary Anthony Rodriguez,Tearlaments,ishizu-tearlaments-309489,$145.55
24,25,Justin Singh Delhon,Tearlaments,ishizu-tearlaments-309414,$169.85
25,26,Mitchel Moises Rosado Sepulveda,Tearlaments,ishizu-tearlaments-309653,$100.72
26,27,Griffin Dean Gamrat,Floowandereeze,dogmatika-floowandereeze-309390,$49.76
27,28,Michael Anthony Comaduran,Tearlaments,,
28,29,Ryhan Chakim Jabri,Tearlaments,bystial-ishizu-tearlaments-309411,$135.47
29,30,Nechemia Samuel Goldman,Tearlaments,ishizu-tearlaments-309651,$111.69
30,31,Jackson Dillon Rauch,Tearlaments,ishizu-tearlaments-309479,$118.99
31,32,Derek Cameron Brown,Floowandereeze,,
