,placement,player,archetype,deck_id
0,1,Denis Nadas,Kashtira,kashtira-329809
1,2,Calvin Tahan,Kashtira,kashtira-329731
2,3,Enzo Fiallos,Kashtira,kashtira-329835
3,4,Kanadiest Liu,Kashtira,
4,5,Hunter Lloyd	,Labrynth,branded-labrynth-329728
5,6,Omar Bsiso,Superheavy Samurai,superheavy-samurai-329847
6,7,Jesse Kotton,Kashtira,kashtira-329834
7,8,Ryan Yu,Labrynth,labrynth-ycs-philadelphia-top-8-329881
8,9,Nicholas Vincent Scarangella,Tearlaments,destiny-ishizu-tearlaments-329924
9,10,Lucas Frangella,Kashtira,kashtira-329833
10,11,Isaac Daniel Kritz,Dinomorphia,dinomorphia-329721
11,12,Patrick Jefferson Hoban,Superheavy Samurai,superheavy-samurai-329720
12,13,Trevor Commer,Kashtira,kashtira-329945
13,14,Ahmed Saeed,Superheavy Samurai,superheavy-samurai-330046
14,15,James Kim,Labrynth,labrynth-329935
15,16,Coyle Rhys Yuhas,Superheavy Samurai,superheavy-samurai-329818
16,17,Clifton Scott Land,Despia,branded-despia-329927
17,18,Yacine Sahli,Mathmech,spirit-mathmech-329946
18,19,Anthony Figueroa,Despia,branded-despia-329915
19,20,Alex Mondlak,Kashtira,
20,21,Logan Samuel Shepard,Superheavy Samurai,superheavy-samurai-329920
21,22,Kamal Crooks-Valdez,Purrely,purrely-329936
22,23,Luka Forjan,Labrynth,labrynth-329916
23,24,Nicholas Ma,Purrely,purrely-329939
24,25,Yiyang Zhuang,Kashtira,
25,26,Alyse Davis,Kashtira,kashtira-329832
26,27,Matthew Joseph Pelletier,Despia,branded-despia-329917
27,28,Joon Hyung Park,Floowandereeze,floowandereeze-329838
28,29,Jack Fox Baum,Kashtira,
29,30,Matthew Joseph Narvaez,Kashtira,
30,31,Joseph Earl Bogli,Eldlich,eldlich-329807
31,32,Mina George Anis,Superheavy Samurai,superheavy-samurai-329940
32,33,Robert Kenny III,Gold Pride,p-u-n-k-gold-pride-329735
33,34,Hani Jawhari,Purrely,
34,35,John Alexander Wilkin,Kashtira,kashtira-329739
35,36,Paul Aronson,Kashtira,
36,37,Trevor Lee Parker,Kashtira,
37,38,Omar Ramos,Eldlich,eldlich-329725
38,39,Tayveon Garrett Crowley,Kashtira,kashtira-329945
39,40,Charley Ray Futch,Kashtira,kashtira-329919
40,41,Steven John Logan,Gold Pride,gold-pride-329723
41,42,Austin Wesley Colling,Kashtira,kashtira-329738
42,43,Michael Dylan Fox,Superheavy Samurai,superheavy-samurai-330050
43,44,Erik Christensen,Superheavy Samurai,
44,45,Dominic Couch,Kashtira,kashtira-329824
45,46,Sean Tyler W.,Labrynth,labrynth-329706
46,47,Blake Michael Morrison,Kashtira,
47,48,Ryhan Jabri,Kashtira,
48,49,Andrew Robert Hadfield,Spright,melffy-spright-330057
49,50,Austin Tyler Long,Despia,branded-despia-330406
50,51,Maxx Owhen Ward,Rikka,
51,52,Caulin David Bradshaw,Labrynth,
52,53,Salvatore Michael D’Angelo,Superheavy Samurai,superheavy-samurai-329913
53,54,Thomas Connor Newman,Kashtira,
54,55,Heidi Cohendy,Kashtira,
55,56,Max Jacob Demjancik,Superheavy Samurai,
56,57,Matthew Evan Harris Vanden Heuvel,Kashtira,
57,58,Luis Daniel Orona Jr.,Runick,
58,59,Kody Masataka Manabe,Superheavy Samurai,
59,60,Alexander Michael Kauthen,Floowandereeze,
60,61,Roberto Hernandez Bonilla,Kashtira,
61,62,Justin O’Brian Franklin,Purrely,purrely-329938
62,63,Joel Scot Patton	,Superheavy Samurai,superheavy-samurai-329921
63,64,Liborio Bobby Barone,Kashtira,kashtira-329922
